Time Stamp,ID,Extended,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
000000206,0000019A,false,0,6,FF,FF,93,7E,FF,2F,00,00
000000207,0000019F,false,0,6,FF,FF,FC,7F,FF,AF,00,00
000000208,000002BB,false,0,5,F3,F0,00,00,F2,00,00,00
000000209,000000A9,false,0,8,50,78,00,90,F1,00,00,FF
000000210,000001F9,false,0,2,FD,FF,00,00,00,00,00,00
000000211,000003FD,false,0,5,56,0C,20,00,FF,00,00,00
000000212,00000108,false,0,8,00,7D,FF,FF,07,F1,FF,FF
000000213,00000201,false,0,8,A0,00,FF,FF,FF,FF,FF,FF
000000214,000002F5,false,0,8,60,0F,00,20,23,0A,06,10
000000215,00000206,false,0,8,F0,2B,5F,FF,FF,FF,FF,FF
000000216,000001AE,false,0,2,F7,FF,00,00,00,00,00,00
000000217,00000212,false,0,8,91,FC,F9,FF,FF,FF,FF,FF
000000218,000000EF,false,0,8,AB,F6,00,7D,21,00,7D,FF
000000219,000002DB,false,0,8,FF,FF,FF,FF,BF,FF,FF,FF
000000220,00000096,false,0,8,58,00,68,96,01,FF,FF,FF
000000221,000000A5,false,0,8,3A,F6,FF,F7,7F,00,00,C1
000000222,000000AC,false,0,2,00,F0,00,00,00,00,00,00
000000223,000000D9,false,0,8,76,F6,00,10,00,F0,7F,C0
000000224,000000F3,false,0,8,58,06,00,FF,F0,C0,FF,FF
000000225,000001A1,false,0,5,95,C0,00,00,81,00,00,00
000000226,000002E8,false,0,8,C0,47,C4,FF,FF,F0,FB,AD
000000227,000002F1,false,0,8,B3,0F,00,00,00,00,00,A0
000000228,000002FA,false,0,8,FD,FF,05,FF,FF,FF,FF,FF
000000229,0000032B,false,0,8,00,00,00,00,00,00,00,FF
000000230,00000331,false,0,8,FF,FF,FF,EF,7F,FE,F7,FF
000000231,000003AD,false,0,8,00,F0,FF,FF,FF,FF,FF,F1
000000232,000003E8,false,0,2,F1,FF,00,00,00,00,00,00
000000233,000003E9,false,0,8,08,52,41,00,00,00,00,00
000000234,0000031E,false,0,8,10,44,45,FF,78,FF,FF,FF
000000235,00000100,false,0,8,2C,FC,7F,C0,5D,AD,87,70
000000236,00000112,false,0,8,ED,1F,54,0F,61,73,05,62
000000237,000002A7,false,0,5,5D,FC,FE,FF,14,00,00,00
000000238,000002A1,false,0,5,80,58,02,00,FA,00,00,00
000000239,0000003C,false,0,8,FF,7F,00,00,00,00,FF,FF
000000240,0000015F,false,0,8,CC,F7,00,7D,00,EE,00,7D
000000241,00000254,false,0,8,FF,7F,FF,7F,FF,7F,FF,7F
000000242,00000258,false,0,2,44,44,00,00,00,00,00,00
000000243,0000013A,false,0,8,50,F4,00,00,00,0E,FF,FF
000000244,00000287,false,0,5,01,0C,FE,80,00,00,00,00
000000245,000001D0,false,0,8,D6,F2,DF,FF,FF,FF,FF,FF
000000246,000001B9,false,0,5,FF,FF,FF,14,FF,00,00,00
000000247,00000100,false,0,8,71,FD,7F,C0,5D,AD,87,70
000000248,00000112,false,0,8,ED,1F,54,0F,61,73,05,62
000000249,00000199,false,0,6,FF,FF,AE,7E,FF,BF,00,00
