Time Stamp,ID,Extended,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
000000156,0000019F,false,0,6,FF,FF,FB,7F,FF,2F,00,00
000000157,00000254,false,0,8,FF,7F,FF,7F,FF,7F,FF,7F
000000158,00000258,false,0,2,44,44,00,00,00,00,00,00
000000159,00000201,false,0,8,07,4B,07,4B,FF,FF,FF,FF
000000160,00000510,false,0,8,40,10,20,00,00,00,00,00
000000161,000000EF,false,0,8,B4,FE,00,7D,21,FE,7C,FF
000000162,000001A1,false,0,5,E0,C3,00,00,8A,00,00,00
000000163,0000003C,false,0,8,FF,5F,00,00,00,00,FF,FF
000000164,00000112,false,0,8,FA,1F,C6,0E,3A,72,85,5F
000000165,00000302,false,0,7,FF,FF,FF,7F,FC,FF,FF,00
000000166,00000100,false,0,8,51,FD,7F,C0,5D,66,87,70
000000167,0000015F,false,0,8,42,F0,00,7D,00,EE,00,7D
000000168,00000348,false,0,8,E7,00,0A,7F,FE,0B,D8,11
000000169,0000012F,false,0,8,DC,25,86,1C,F1,35,30,00
000000170,00000112,false,0,8,FB,1F,C7,0E,3A,72,85,5F
000000171,00000314,false,0,3,11,02,FF,00,00,00,00,00
000000172,00000197,false,0,4,86,0A,0E,C0,00,00,00,01
000000173,000000A5,false,0,8,B4,F1,FF,F7,7F,00,00,C1
000000174,000000AC,false,0,2,00,F0,00,00,00,00,00,00
000000175,000000D9,false,0,8,10,F1,00,10,00,F0,7F,C8
000000176,000000F3,false,0,8,D6,01,00,FF,F0,C0,FF,FF
000000177,00000100,false,0,8,B6,FE,7F,C0,5D,66,87,70
000000178,00000199,false,0,6,FF,FF,AF,7E,FF,3F,00,00
000000179,0000019A,false,0,6,FF,FF,8B,7E,FF,3F,00,00
000000180,0000019F,false,0,6,FF,FF,F9,7F,FF,2F,00,00
000000181,00000254,false,0,8,FF,7F,FF,7F,FF,7F,FF,7F
000000182,00000258,false,0,2,44,44,00,00,00,00,00,00
000000183,00000297,false,0,7,B8,EB,F0,FC,F2,92,EA,00
000000184,00000206,false,0,8,DD,28,5C,FF,FF,FF,FF,FF
000000185,000000EF,false,0,8,B5,F0,00,7D,21,FE,7C,FF
000000186,000001A1,false,0,5,89,C5,00,00,8A,00,00,00
000000187,00000112,false,0,8,FA,1F,C7,0E,3A,72,85,5F
000000188,000000A9,false,0,8,B0,78,00,90,F1,00,00,FF
000000189,00000239,false,0,8,31,89,2A,69,01,FF,FF,FF
000000190,00000100,false,0,8,B7,F0,7F,C0,5D,66,87,70
000000191,0000036E,false,0,5,A0,F6,FE,FF,14,00,00,00
000000192,00000272,false,0,8,5B,F9,01,11,FF,FF,FF,FF
000000193,000001AE,false,0,2,F7,FF,00,00,00,00,00,00
000000194,0000015F,false,0,8,1F,F1,00,7D,00,EE,00,7D
000000195,0000043D,false,0,8,0A,F7,E6,FF,1E,0F,01,F0
000000196,00000112,false,0,8,FA,1F,C6,0E,3A,72,85,5F
000000197,000002A1,false,0,5,80,58,02,00,F0,00,00,00
000000198,00000431,false,0,8,CA,FF,FF,FF,FF,7C,F3,4B
000000199,000000A5,false,0,8,53,F2,FF,F7,7F,00,00,C1
000000200,000000AC,false,0,2,00,F0,00,00,00,00,00,00
000000201,000000D9,false,0,8,F7,F2,00,10,00,F0,7F,C8
000000202,000000F3,false,0,8,31,02,00,FF,F0,C0,FF,FF
000000203,00000100,false,0,8,EA,F1,7F,C0,5D,66,87,70
000000204,00000199,false,0,6,FF,FF,B9,7E,FF,3F,00,00
000000205,0000019A,false,0,6,FF,FF,81,7E,FF,3F,00,00
000000206,0000019F,false,0,6,FF,FF,0B,80,FF,2F,00,00
000000207,00000254,false,0,8,FF,7F,FF,7F,FF,7F,FF,7F
000000208,00000258,false,0,2,44,44,00,00,00,00,00,00
000000209,000002BB,false,0,5,07,F7,00,00,F2,00,00,00
000000210,000002E8,false,0,8,C0,18,C5,FF,FF,F4,F1,B9
000000211,000003FD,false,0,5,29,01,00,00,FF,00,00,00
000000212,00000108,false,0,8,00,7D,FF,FF,07,F1,FF,FF
000000213,00000201,false,0,8,10,4B,10,4B,FF,FF,FF,FF
000000214,00000212,false,0,8,90,F2,F9,FF,FF,FF,FF,FF
000000215,000002DB,false,0,8,FF,FF,FF,FF,BF,FF,FF,FF
000000216,000002F1,false,0,8,B4,0F,00,00,00,00,00,A0
000000217,000000EF,false,0,8,E8,F1,00,7D,21,FE,7C,FF
000000218,000001A1,false,0,5,AE,C7,00,00,8A,00,00,00
000000219,00000112,false,0,8,FA,1F,C6,0E,3A,72,85,5F
000000220,00000432,false,0,8,4C,ED,10,B1,8A,FF,00,FF
000000221,00000349,false,0,5,FE,FF,F4,1A,00,00,00,00
000000222,00000197,false,0,4,09,0B,0E,C0,00,00,00,00
000000223,00000302,false,0,7,FF,FF,FF,7F,FC,FF,FF,00
000000224,00000100,false,0,8,0D,F2,7F,C0,5D,66,87,70
000000225,00000201,false,0,8,12,4B,12,4B,FF,FF,FF,FF
000000226,0000015F,false,0,8,F8,F2,00,7D,00,EE,00,7D
000000227,0000043C,false,0,8,FE,FE,FF,FF,FF,FF,FF,FF
000000228,00000112,false,0,8,FA,1F,C6,0E,3A,72,85,5F
000000229,000002B0,false,0,6,42,4D,05,C8,FF,FF,00,00
000000230,0000038E,false,0,8,00,00,0E,0E,99,09,84,F2
000000231,000000A5,false,0,8,0E,F3,FF,F7,7F,00,00,C1
000000232,000000AC,false,0,2,00,F0,00,00,00,00,00,00
000000233,000000D9,false,0,8,AA,F3,00,10,00,F0,7F,C8
000000234,000000F3,false,0,8,6C,03,00,FF,F0,C0,FF,FF
000000235,00000100,false,0,8,50,F3,7F,C0,5D,66,87,70
000000236,00000199,false,0,6,FF,FF,B9,7E,FF,3F,00,00
000000237,0000019A,false,0,6,FF,FF,8B,7E,FF,3F,00,00
000000238,0000019F,false,0,6,FF,FF,0D,80,FF,2F,00,00
