Time Stamp,ID,Extended,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
000000351,000001A1,false,0,5,E0,C3,00,00,8A,00,00,00
000000352,00000112,false,0,8,FA,1F,C7,0E,3A,72,85,5F
000000353,00000100,false,0,8,51,FD,7F,C0,5D,66,87,70
000000354,00000302,false,0,7,FF,FF,FF,7F,FC,FF,FF,00
000000355,000002C5,false,0,7,D8,F8,00,20,06,20,CA,00
000000356,00000199,false,0,6,FF,FF,B9,7E,FF,3F,00,00
000000357,0000019A,false,0,6,FF,FF,81,7E,FF,3F,00,00
000000358,0000019F,false,0,6,FF,FF,0E,80,FF,2F,00,00
000000359,00000254,false,0,8,FF,7F,FF,7F,FF,7F,FF,7F
000000360,00000258,false,0,2,44,44,00,00,00,00,00,00
000000361,0000015F,false,0,8,42,F0,00,7D,00,EE,00,7D
000000362,000000A5,false,0,8,B4,F1,FF,F7,7F,00,00,C1
000000363,000000AC,false,0,2,00,F0,00,00,00,00,00,00
000000364,000000D9,false,0,8,10,F1,00,10,00,F0,7F,C8
000000365,000000F3,false,0,8,D6,01,00,FF,F0,C0,FF,FF
000000366,00000112,false,0,8,FA,1F,C7,0E,3A,72,85,5F
000000367,0000012F,false,0,8,30,26,86,1B,F1,35,30,00
000000368,00000197,false,0,4,00,05,0E,C0,00,00,00,00
000000369,00000100,false,0,8,B6,FE,7F,C0,5D,66,87,70
000000370,0000003C,false,0,8,FF,5F,00,00,00,00,FF,FF
000000371,00000297,false,0,7,B8,EB,F0,FC,F2,92,EA,00
000000372,00000206,false,0,8,DD,28,5C,FF,FF,FF,FF,FF
000000373,000000EF,false,0,8,B5,F0,00,7D,21,FE,7C,FF
000000374,000001A1,false,0,5,89,C5,00,00,8A,00,00,00
000000375,000000A9,false,0,8,C0,78,00,90,F1,00,00,FF
000000376,00000112,false,0,8,FA,1F,C7,0E,3A,72,85,5F
000000377,00000239,false,0,8,31,88,2A,57,01,FF,FF,FF
000000378,00000100,false,0,8,B7,F0,7F,C0,5D,66,87,70
000000379,000002A7,false,0,5,35,F3,FE,FF,14,00,00,00
000000380,00000199,false,0,6,FF,FF,B9,7E,FF,3F,00,00
000000381,0000019A,false,0,6,FF,FF,77,7E,FF,3F,00,00
000000382,0000019F,false,0,6,FF,FF,08,80,FF,2F,00,00
000000383,00000254,false,0,8,FF,7F,FF,7F,FF,7F,FF,7F
000000384,00000258,false,0,2,44,44,00,00,00,00,00,00
000000385,000001AE,false,0,2,F7,FF,00,00,00,00,00,00
000000386,0000015F,false,0,8,1F,F1,00,7D,00,EE,00,7D
000000387,000002A1,false,0,5,80,58,02,00,F0,00,00,00
000000388,000007BD,false,0,8,00,00,00,C0,FF,C0,01,08
000000389,000007BE,false,0,8,0B,00,00,00,00,00,00,00
000000390,000000A5,false,0,8,53,F2,FF,F7,7F,00,00,C1
000000391,000000AC,false,0,2,00,F0,00,00,00,00,00,00
